library_name	title	experiment	cell_line	time	time_point	treatment	processed_data_file 	raw_file_1	raw_file_2
S_102_0_S106531	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.6, rep_3	 EXP_9.6	C	Day 14	timepoint_2	Tumor_plus_NK	S_102_0_S106531_quant.sf	BSF_1117_HMV5NBBXY_7#S_102_0_S106531.bam	BSF_1117_HMV5NBBXY_8#S_102_0_S106531.bam
S_103_0_S106534	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	D	Day 14	timepoint_2	Tumor_plus_NK	S_103_0_S106534_quant.sf	BSF_1117_HMV5NBBXY_7#S_103_0_S106534.bam	BSF_1117_HMV5NBBXY_8#S_103_0_S106534.bam
S_104_0_S106533	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.6, rep_2	 EXP_9.6	D	Day 14	timepoint_2	Tumor_plus_NK	S_104_0_S106533_quant.sf	BSF_1117_HMV5NBBXY_7#S_104_0_S106533.bam	BSF_1117_HMV5NBBXY_8#S_104_0_S106533.bam
S_106_0_S106536	Tumor_only, Cell_line_A, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	A	Day 14	timepoint_2	Tumor_only	S_106_0_S106536_quant.sf	BSF_1117_HMV5NBBXY_7#S_106_0_S106536.bam	BSF_1117_HMV5NBBXY_8#S_106_0_S106536.bam
S_107_0_S106535	Tumor_only, Cell_line_B, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	B	Day 14	timepoint_2	Tumor_only	S_107_0_S106535_quant.sf	BSF_1117_HMV5NBBXY_7#S_107_0_S106535.bam	BSF_1117_HMV5NBBXY_8#S_107_0_S106535.bam
S_108_0_S106538	Tumor_only, Cell_line_C, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	C	Day 14	timepoint_2	Tumor_only	S_108_0_S106538_quant.sf	BSF_1117_HMV5NBBXY_7#S_108_0_S106538.bam	BSF_1117_HMV5NBBXY_8#S_108_0_S106538.bam
S_109_0_S106537	Tumor_only, Cell_line_D, timepoint_2, EXP_9.6, rep_1	 EXP_9.6	D	Day 14	timepoint_2	Tumor_only	S_109_0_S106537_quant.sf	BSF_1117_HMV5NBBXY_7#S_109_0_S106537.bam	BSF_1117_HMV5NBBXY_8#S_109_0_S106537.bam
S_1_0_S115919	Tumor_only, Cell_line_A, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	A	Day 6	timepoint_1	Tumor_only	S_1_0_S115919_quant.sf	BSF_1179_HNYKKBBXY_4#S_1_0_S115919.bam	BSF_1179_HNYKKBBXY_5#S_1_0_S115919.bam
S_2_0_S115918	Tumor_only, Cell_line_A, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	A	Day 6	timepoint_1	Tumor_only	S_2_0_S115918_quant.sf	BSF_1179_HNYKKBBXY_4#S_2_0_S115918.bam	BSF_1179_HNYKKBBXY_5#S_2_0_S115918.bam
S_3_0_S115921	Tumor_only, Cell_line_A, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	A	Day 6	timepoint_1	Tumor_only	S_3_0_S115921_quant.sf	BSF_1179_HNYKKBBXY_4#S_3_0_S115921.bam	BSF_1179_HNYKKBBXY_5#S_3_0_S115921.bam
S_4_0_S115920	Tumor_only, Cell_line_B, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	B	Day 6	timepoint_1	Tumor_only	S_4_0_S115920_quant.sf	BSF_1179_HNYKKBBXY_4#S_4_0_S115920.bam	BSF_1179_HNYKKBBXY_5#S_4_0_S115920.bam
S_5_0_S115923	Tumor_only, Cell_line_B, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	B	Day 6	timepoint_1	Tumor_only	S_5_0_S115923_quant.sf	BSF_1179_HNYKKBBXY_4#S_5_0_S115923.bam	BSF_1179_HNYKKBBXY_5#S_5_0_S115923.bam
S_6_0_S115922	Tumor_only, Cell_line_B, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	B	Day 6	timepoint_1	Tumor_only	S_6_0_S115922_quant.sf	BSF_1179_HNYKKBBXY_4#S_6_0_S115922.bam	BSF_1179_HNYKKBBXY_5#S_6_0_S115922.bam
S_7_0_S115925	Tumor_only, Cell_line_C, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	C	Day 6	timepoint_1	Tumor_only	S_7_0_S115925_quant.sf	BSF_1179_HNYKKBBXY_4#S_7_0_S115925.bam	BSF_1179_HNYKKBBXY_5#S_7_0_S115925.bam
S_8_0_S115924	Tumor_only, Cell_line_C, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	C	Day 6	timepoint_1	Tumor_only	S_8_0_S115924_quant.sf	BSF_1179_HNYKKBBXY_4#S_8_0_S115924.bam	BSF_1179_HNYKKBBXY_5#S_8_0_S115924.bam
S_9_0_S115927	Tumor_only, Cell_line_C, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	C	Day 6	timepoint_1	Tumor_only	S_9_0_S115927_quant.sf	BSF_1179_HNYKKBBXY_4#S_9_0_S115927.bam	BSF_1179_HNYKKBBXY_5#S_9_0_S115927.bam
S_10_0_S115926	Tumor_only, Cell_line_D, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	D	Day 6	timepoint_1	Tumor_only	S_10_0_S115926_quant.sf	BSF_1179_HNYKKBBXY_4#S_10_0_S115926.bam	BSF_1179_HNYKKBBXY_5#S_10_0_S115926.bam
S_11_0_S115929	Tumor_only, Cell_line_D, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	D	Day 6	timepoint_1	Tumor_only	S_11_0_S115929_quant.sf	BSF_1179_HNYKKBBXY_4#S_11_0_S115929.bam	BSF_1179_HNYKKBBXY_5#S_11_0_S115929.bam
S_12_0_S115928	Tumor_only, Cell_line_D, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	D	Day 6	timepoint_1	Tumor_only	S_12_0_S115928_quant.sf	BSF_1179_HNYKKBBXY_4#S_12_0_S115928.bam	BSF_1179_HNYKKBBXY_5#S_12_0_S115928.bam
S_13_0_S115931	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	A	Day 6	timepoint_1	Tumor_plus_NK	S_13_0_S115931_quant.sf	BSF_1179_HNYKKBBXY_4#S_13_0_S115931.bam	BSF_1179_HNYKKBBXY_5#S_13_0_S115931.bam
S_14_0_S115930	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	A	Day 6	timepoint_1	Tumor_plus_NK	S_14_0_S115930_quant.sf	BSF_1179_HNYKKBBXY_4#S_14_0_S115930.bam	BSF_1179_HNYKKBBXY_5#S_14_0_S115930.bam
S_15_0_S115933	Tumor_plus_NK, Cell_line_A, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	A	Day 6	timepoint_1	Tumor_plus_NK	S_15_0_S115933_quant.sf	BSF_1179_HNYKKBBXY_4#S_15_0_S115933.bam	BSF_1179_HNYKKBBXY_5#S_15_0_S115933.bam
S_16_0_S115932	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	B	Day 6	timepoint_1	Tumor_plus_NK	S_16_0_S115932_quant.sf	BSF_1179_HNYKKBBXY_4#S_16_0_S115932.bam	BSF_1179_HNYKKBBXY_5#S_16_0_S115932.bam
S_17_0_S115935	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	B	Day 6	timepoint_1	Tumor_plus_NK	S_17_0_S115935_quant.sf	BSF_1179_HNYKKBBXY_4#S_17_0_S115935.bam	BSF_1179_HNYKKBBXY_5#S_17_0_S115935.bam
S_18_0_S115934	Tumor_plus_NK, Cell_line_B, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	B	Day 6	timepoint_1	Tumor_plus_NK	S_18_0_S115934_quant.sf	BSF_1179_HNYKKBBXY_4#S_18_0_S115934.bam	BSF_1179_HNYKKBBXY_5#S_18_0_S115934.bam
S_19_0_S115937	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	C	Day 6	timepoint_1	Tumor_plus_NK	S_19_0_S115937_quant.sf	BSF_1179_HNYKKBBXY_4#S_19_0_S115937.bam	BSF_1179_HNYKKBBXY_5#S_19_0_S115937.bam
S_20_0_S115936	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	C	Day 6	timepoint_1	Tumor_plus_NK	S_20_0_S115936_quant.sf	BSF_1179_HNYKKBBXY_4#S_20_0_S115936.bam	BSF_1179_HNYKKBBXY_5#S_20_0_S115936.bam
S_21_0_S115939	Tumor_plus_NK, Cell_line_C, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	C	Day 6	timepoint_1	Tumor_plus_NK	S_21_0_S115939_quant.sf	BSF_1179_HNYKKBBXY_4#S_21_0_S115939.bam	BSF_1179_HNYKKBBXY_5#S_21_0_S115939.bam
S_22_0_S115938	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.7, rep_1	 EXP_9.7	D	Day 6	timepoint_1	Tumor_plus_NK	S_22_0_S115938_quant.sf	BSF_1179_HNYKKBBXY_4#S_22_0_S115938.bam	BSF_1179_HNYKKBBXY_5#S_22_0_S115938.bam
S_23_0_S115941	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.7, rep_2	 EXP_9.7	D	Day 6	timepoint_1	Tumor_plus_NK	S_23_0_S115941_quant.sf	BSF_1179_HNYKKBBXY_4#S_23_0_S115941.bam	BSF_1179_HNYKKBBXY_5#S_23_0_S115941.bam
S_24_0_S115940	Tumor_plus_NK, Cell_line_D, timepoint_1, EXP_9.7, rep_3	 EXP_9.7	D	Day 6	timepoint_1	Tumor_plus_NK	S_24_0_S115940_quant.sf	BSF_1179_HNYKKBBXY_4#S_24_0_S115940.bam	BSF_1179_HNYKKBBXY_5#S_24_0_S115940.bam
S_25_0_S115943	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	A	Day 16	timepoint_2	Tumor_plus_NK	S_25_0_S115943_quant.sf	BSF_1179_HNYKKBBXY_4#S_25_0_S115943.bam	BSF_1179_HNYKKBBXY_5#S_25_0_S115943.bam
S_26_0_S115942	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.7, rep_2	 EXP_9.7	A	Day 16	timepoint_2	Tumor_plus_NK	S_26_0_S115942_quant.sf	BSF_1179_HNYKKBBXY_4#S_26_0_S115942.bam	BSF_1179_HNYKKBBXY_5#S_26_0_S115942.bam
S_27_0_S115945	Tumor_plus_NK, Cell_line_A, timepoint_2, EXP_9.7, rep_3	 EXP_9.7	A	Day 16	timepoint_2	Tumor_plus_NK	S_27_0_S115945_quant.sf	BSF_1179_HNYKKBBXY_4#S_27_0_S115945.bam	BSF_1179_HNYKKBBXY_5#S_27_0_S115945.bam
S_28_0_S115944	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	B	Day 16	timepoint_2	Tumor_plus_NK	S_28_0_S115944_quant.sf	BSF_1179_HNYKKBBXY_4#S_28_0_S115944.bam	BSF_1179_HNYKKBBXY_5#S_28_0_S115944.bam
S_29_0_S115947	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.7, rep_2	 EXP_9.7	B	Day 16	timepoint_2	Tumor_plus_NK	S_29_0_S115947_quant.sf	BSF_1179_HNYKKBBXY_4#S_29_0_S115947.bam	BSF_1179_HNYKKBBXY_5#S_29_0_S115947.bam
S_30_0_S115946	Tumor_plus_NK, Cell_line_B, timepoint_2, EXP_9.7, rep_3	 EXP_9.7	B	Day 16	timepoint_2	Tumor_plus_NK	S_30_0_S115946_quant.sf	BSF_1179_HNYKKBBXY_4#S_30_0_S115946.bam	BSF_1179_HNYKKBBXY_5#S_30_0_S115946.bam
S_31_0_S115949	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	C	Day 16	timepoint_2	Tumor_plus_NK	S_31_0_S115949_quant.sf	BSF_1179_HNYKKBBXY_4#S_31_0_S115949.bam	BSF_1179_HNYKKBBXY_5#S_31_0_S115949.bam
S_32_0_S115948	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.7, rep_2	 EXP_9.7	C	Day 16	timepoint_2	Tumor_plus_NK	S_32_0_S115948_quant.sf	BSF_1179_HNYKKBBXY_4#S_32_0_S115948.bam	BSF_1179_HNYKKBBXY_5#S_32_0_S115948.bam
S_33_0_S115951	Tumor_plus_NK, Cell_line_C, timepoint_2, EXP_9.7, rep_3	 EXP_9.7	C	Day 16	timepoint_2	Tumor_plus_NK	S_33_0_S115951_quant.sf	BSF_1179_HNYKKBBXY_4#S_33_0_S115951.bam	BSF_1179_HNYKKBBXY_5#S_33_0_S115951.bam
S_34_0_S115950	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	D	Day 16	timepoint_2	Tumor_plus_NK	S_34_0_S115950_quant.sf	BSF_1179_HNYKKBBXY_4#S_34_0_S115950.bam	BSF_1179_HNYKKBBXY_5#S_34_0_S115950.bam
S_35_0_S115953	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.7, rep_2	 EXP_9.7	D	Day 16	timepoint_2	Tumor_plus_NK	S_35_0_S115953_quant.sf	BSF_1179_HNYKKBBXY_4#S_35_0_S115953.bam	BSF_1179_HNYKKBBXY_5#S_35_0_S115953.bam
S_36_0_S115952	Tumor_plus_NK, Cell_line_D, timepoint_2, EXP_9.7, rep_3	 EXP_9.7	D	Day 16	timepoint_2	Tumor_plus_NK	S_36_0_S115952_quant.sf	BSF_1179_HNYKKBBXY_4#S_36_0_S115952.bam	BSF_1179_HNYKKBBXY_5#S_36_0_S115952.bam
S_37_0_S115955	Tumor_only, Cell_line_A, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	A	Day 16	timepoint_2	Tumor_only	S_37_0_S115955_quant.sf	BSF_1179_HNYKKBBXY_4#S_37_0_S115955.bam	BSF_1179_HNYKKBBXY_5#S_37_0_S115955.bam
S_38_0_S115954	Tumor_only, Cell_line_B, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	B	Day 16	timepoint_2	Tumor_only	S_38_0_S115954_quant.sf	BSF_1179_HNYKKBBXY_4#S_38_0_S115954.bam	BSF_1179_HNYKKBBXY_5#S_38_0_S115954.bam
S_39_0_S115957	Tumor_only, Cell_line_C, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	C	Day 16	timepoint_2	Tumor_only	S_39_0_S115957_quant.sf	BSF_1179_HNYKKBBXY_4#S_39_0_S115957.bam	BSF_1179_HNYKKBBXY_5#S_39_0_S115957.bam
S_40_0_S115956	Tumor_only, Cell_line_D, timepoint_2, EXP_9.7, rep_1	 EXP_9.7	D	Day 16	timepoint_2	Tumor_only	S_40_0_S115956_quant.sf	BSF_1179_HNYKKBBXY_4#S_40_0_S115956.bam	BSF_1179_HNYKKBBXY_5#S_40_0_S115956.bam
R1_S123908	Tumor_only, Cell_line_A, timepoint_0, EXP_9.8, rep_1	 EXP_9.8	A	Day 0	timepoint_0	Tumor_only	R1_S123908_quant.sf	BSF_1241_HGM75DRX2_1#R1_S123908.bam	
R2_S123907	Tumor_only, Cell_line_A, timepoint_0, EXP_9.8, rep_2	 EXP_9.8	A	Day 0	timepoint_0	Tumor_only	R2_S123907_quant.sf	BSF_1241_HGM75DRX2_1#R10_S123915.bam	
R3_S123910	Tumor_only, Cell_line_A, timepoint_0, EXP_9.8, rep_3	 EXP_9.8	A	Day 0	timepoint_0	Tumor_only	R3_S123910_quant.sf	BSF_1241_HGM75DRX2_1#R11_S123918.bam	
R4_S123909	Tumor_only, Cell_line_D, timepoint_0, EXP_9.8, rep_1	 EXP_9.8	D	Day 0	timepoint_0	Tumor_only	R4_S123909_quant.sf	BSF_1241_HGM75DRX2_1#R12_S123917.bam	
R5_S123912	Tumor_only, Cell_line_D, timepoint_0, EXP_9.8, rep_2	 EXP_9.8	D	Day 0	timepoint_0	Tumor_only	R5_S123912_quant.sf	BSF_1241_HGM75DRX2_1#R13_S123920.bam	
R6_S123911	Tumor_only, Cell_line_D, timepoint_0, EXP_9.8, rep_3	 EXP_9.8	D	Day 0	timepoint_0	Tumor_only	R6_S123911_quant.sf	BSF_1241_HGM75DRX2_1#R14_S123919.bam	
R7_S123914	Tumor_only, Cell_line_A, timepoint_1, EXP_9.8, rep_1	 EXP_9.8	A	Day 4	timepoint_1	Tumor_only	R7_S123914_quant.sf	BSF_1241_HGM75DRX2_1#R15_S123922.bam	
R8_S123913	Tumor_only, Cell_line_A, timepoint_1, EXP_9.8, rep_2	 EXP_9.8	A	Day 4	timepoint_1	Tumor_only	R8_S123913_quant.sf	BSF_1241_HGM75DRX2_1#R16_S123921.bam	
R9_S123916	Tumor_only, Cell_line_A, timepoint_1, EXP_9.8, rep_3	 EXP_9.8	A	Day 4	timepoint_1	Tumor_only	R9_S123916_quant.sf	BSF_1241_HGM75DRX2_1#R17_S123924.bam	
R10_S123915	Tumor_only, Cell_line_D, timepoint_1, EXP_9.8, rep_1	 EXP_9.8	D	Day 4	timepoint_1	Tumor_only	R10_S123915_quant.sf	BSF_1241_HGM75DRX2_1#R18_S123923.bam	
R11_S123918	Tumor_only, Cell_line_D, timepoint_1, EXP_9.8, rep_2	 EXP_9.8	D	Day 4	timepoint_1	Tumor_only	R11_S123918_quant.sf	BSF_1241_HGM75DRX2_1#R19_S123890.bam	
R12_S123917	Tumor_only, Cell_line_D, timepoint_1, EXP_9.8, rep_3	 EXP_9.8	D	Day 4	timepoint_1	Tumor_only	R12_S123917_quant.sf	BSF_1241_HGM75DRX2_1#R2_S123907.bam	
R13_S123920	Tumor_only, Cell_line_A, timepoint_2, EXP_9.8, rep_1	 EXP_9.8	A	Day 14	timepoint_2	Tumor_only	R13_S123920_quant.sf	BSF_1241_HGM75DRX2_1#R20_S123889.bam	
R14_S123919	Tumor_only, Cell_line_A, timepoint_2, EXP_9.8, rep_2	 EXP_9.8	A	Day 14	timepoint_2	Tumor_only	R14_S123919_quant.sf	BSF_1241_HGM75DRX2_1#R21_S123892.bam	
R15_S123922	Tumor_only, Cell_line_A, timepoint_2, EXP_9.8, rep_3	 EXP_9.8	A	Day 14	timepoint_2	Tumor_only	R15_S123922_quant.sf	BSF_1241_HGM75DRX2_1#R22_S123891.bam	
R16_S123921	Tumor_only, Cell_line_D, timepoint_2, EXP_9.8, rep_1	 EXP_9.8	D	Day 14	timepoint_2	Tumor_only	R16_S123921_quant.sf	BSF_1241_HGM75DRX2_1#R23_S123894.bam	
R17_S123924	Tumor_only, Cell_line_D, timepoint_2, EXP_9.8, rep_2	 EXP_9.8	D	Day 14	timepoint_2	Tumor_only	R17_S123924_quant.sf	BSF_1241_HGM75DRX2_1#R24_S123893.bam	
R18_S123923	Tumor_only, Cell_line_D, timepoint_2, EXP_9.8, rep_3	 EXP_9.8	D	Day 14	timepoint_2	Tumor_only	R18_S123923_quant.sf	BSF_1241_HGM75DRX2_1#R25_S123896.bam	
R25_S123896	Tumor_plus_WT_NK, Cell_line_A, timepoint_2, EXP_9.8, rep_1	 EXP_9.8	A	Day 14	timepoint_2	Tumor_plus_WT_NK	R25_S123896_quant.sf	BSF_1241_HGM75DRX2_1#R31_S123902.bam	
R26_S123895	Tumor_plus_WT_NK, Cell_line_A, timepoint_2, EXP_9.8, rep_2	 EXP_9.8	A	Day 14	timepoint_2	Tumor_plus_WT_NK	R26_S123895_quant.sf	BSF_1241_HGM75DRX2_1#R32_S123901.bam	
R27_S123898	Tumor_plus_WT_NK, Cell_line_A, timepoint_2, EXP_9.8, rep_3	 EXP_9.8	A	Day 14	timepoint_2	Tumor_plus_WT_NK	R27_S123898_quant.sf	BSF_1241_HGM75DRX2_1#R33_S123904.bam	
R28_S123897	Tumor_plus_WT_NK, Cell_line_D, timepoint_2, EXP_9.8, rep_1	 EXP_9.8	D	Day 14	timepoint_2	Tumor_plus_WT_NK	R28_S123897_quant.sf	BSF_1241_HGM75DRX2_1#R34_S123903.bam	
R29_S123900	Tumor_plus_WT_NK, Cell_line_D, timepoint_2, EXP_9.8, rep_2	 EXP_9.8	D	Day 14	timepoint_2	Tumor_plus_WT_NK	R29_S123900_quant.sf	BSF_1241_HGM75DRX2_1#R35_S123906.bam	
R30_S123899	Tumor_plus_WT_NK, Cell_line_D, timepoint_2, EXP_9.8, rep_3	 EXP_9.8	D	Day 14	timepoint_2	Tumor_plus_WT_NK	R30_S123899_quant.sf	BSF_1241_HGM75DRX2_1#R36_S123905.bam	
R31_S123902	Tumor_plus_PrfKO_NK, Cell_line_A, timepoint_2, EXP_9.8, rep_1	 EXP_9.8	A	Day 14	timepoint_2	Tumor_plus_PrfKO_NK	R31_S123902_quant.sf	BSF_1241_HGM75DRX2_1#R4_S123909.bam	
R32_S123901	Tumor_plus_PrfKO_NK, Cell_line_A, timepoint_2, EXP_9.8, rep_2	 EXP_9.8	A	Day 14	timepoint_2	Tumor_plus_PrfKO_NK	R32_S123901_quant.sf	BSF_1241_HGM75DRX2_1#R5_S123912.bam	
R33_S123904	Tumor_plus_PrfKO_NK, Cell_line_A, timepoint_2, EXP_9.8, rep_3	 EXP_9.8	A	Day 14	timepoint_2	Tumor_plus_PrfKO_NK	R33_S123904_quant.sf	BSF_1241_HGM75DRX2_1#R6_S123911.bam	
R34_S123903	Tumor_plus_PrfKO_NK, Cell_line_D, timepoint_2, EXP_9.8, rep_1	 EXP_9.8	D	Day 14	timepoint_2	Tumor_plus_PrfKO_NK	R34_S123903_quant.sf	BSF_1241_HGM75DRX2_1#R7_S123914.bam	
R35_S123906	Tumor_plus_PrfKO_NK, Cell_line_D, timepoint_2, EXP_9.8, rep_2	 EXP_9.8	D	Day 14	timepoint_2	Tumor_plus_PrfKO_NK	R35_S123906_quant.sf	BSF_1241_HGM75DRX2_1#R8_S123913.bam	
R36_S123905	Tumor_plus_PrfKO_NK, Cell_line_D, timepoint_2, EXP_9.8, rep_3	 EXP_9.8	D	Day 14	timepoint_2	Tumor_plus_PrfKO_NK	R36_S123905_quant.sf	BSF_1241_HGM75DRX2_1#R9_S123916.bam	
